col_0_0_	col_1_0_	col_2_0_
A00002378	260.000000000	3120.000000000
A00002538	260.000000000	3120.000000000
A00002344	260.000000000	3120.000000000
A00002527	260.000000000	3120.000000000
A00002575	260.000000000	3120.000000000
A00001670	260.000000000	3120.000000000
A00001780	260.000000000	3120.000000000
A00001812	260.000000000	3120.000000000
A00001713	260.000000000	3120.000000000
A00001834	260.000000000	3120.000000000
A00001865	260.000000000	3120.000000000
A00001868	260.000000000	3120.000000000
A00002143	260.000000000	3120.000000000
A00001773	260.000000000	3120.000000000
A00002156	260.000000000	3120.000000000
A00002336	260.000000000	3120.000000000
A00002129	260.000000000	3120.000000000
A00002130	260.000000000	3120.000000000
A00002172	260.000000000	3120.000000000
A00002358	260.000000000	3120.000000000
A00002192	260.000000000	3120.000000000
A00002312	260.000000000	3120.000000000
A00002384	260.000000000	3120.000000000
A00002127	260.000000000	3120.000000000
A00002430	260.000000000	3120.000000000
A00002309	260.000000000	3120.000000000
A00002242	260.000000000	3120.000000000
A00002595	260.000000000	3120.000000000
A00002197	260.000000000	3120.000000000
A00002551	260.000000000	3120.000000000
A00002342	260.000000000	3120.000000000
A00002526	260.000000000	3120.000000000
A00002543	260.000000000	3120.000000000
A00001792	260.000000000	3120.000000000
A00002608	260.000000000	3120.000000000
A00001897	260.000000000	3120.000000000
A00002582	260.000000000	3120.000000000
A00001858	260.000000000	3120.000000000
A00001647	260.000000000	3120.000000000
A00002109	260.000000000	3120.000000000
A00002052	260.000000000	3120.000000000
A00002055	260.000000000	3120.000000000
A00002140	260.000000000	3120.000000000
A00002502	260.000000000	3120.000000000
A00002367	260.000000000	3120.000000000
A00002359	260.000000000	3120.000000000
A00002396	260.000000000	3120.000000000
A00002296	260.000000000	3120.000000000
A00002485	260.000000000	3120.000000000
A00002506	260.000000000	3120.000000000
A00002120	260.000000000	3120.000000000
A00002565	260.000000000	3120.000000000
A00002379	260.000000000	3120.000000000
A00001744	260.000000000	3120.000000000
A00002136	260.000000000	3120.000000000
A00001842	260.000000000	3120.000000000
A00002433	260.000000000	3120.000000000
A00001857	260.000000000	3120.000000000
A00002601	260.000000000	3120.000000000
A00001882	260.000000000	3120.000000000
A00001653	260.000000000	3120.000000000
A00002283	260.000000000	3120.000000000
A00001705	260.000000000	3120.000000000
A00002015	260.000000000	3120.000000000
A00001770	260.000000000	3120.000000000
A00002268	260.000000000	3120.000000000
A00001802	260.000000000	3120.000000000
A00002338	260.000000000	3120.000000000
A00001896	260.000000000	3120.000000000
A00002073	260.000000000	3120.000000000
A00002107	260.000000000	3120.000000000
A00002209	260.000000000	3120.000000000
A00002481	260.000000000	3120.000000000
